show_name,parent_category,middle_category,child_category,address,tel,google_url,latitude,longitude,google_place_id
akarimado,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-8-15KODAビル幡ヶ谷1階,03-6273-6200,,35.67480490000001,139.6750405,ChIJkwMCiTzzGGARaklMNwGEXHQ
あきさば,飲食,ステーキ・焼肉,焼肉,渋谷区神宮前6丁目19-14神宮前ハッピービル,090-4220-2411,,35.6632826,139.7024057,ChIJHQNkN6aMGGAReiY6FQDFLVI
アキッチョ笹塚バンブー,飲食,外国料理,イタリア料理,渋谷区笹塚2-10-6今井ビル103,03-6276-0122,,35.6757003,139.6682699,EjsxMDMsIDItY2jFjW1lLTEwLTYgU2FzYXp1a2EsIFNoaWJ1eWEsIFRva3lvIDE1MS0wMDczLCBKYXBhbiIfGh0KFgoUChIJa6ycTBjzGGARzjnVdDAJqMwSAzEwMw
Aquavit,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区宇田川町31-4シノダビルB1,090-1705-2834,,35.6612793,139.6978997,EkNTaGlub2RhIEJsZGcuLCBiMSwgMzEtNCBVZGFnYXdhY2jFjSwgU2hpYnV5YSwgVG9reW8gMTUwLTAwNDIsIEphcGFuIh4aHAoWChQKEgnB9ZUOqYwYYBHScpX9B1IkfxICYjE
AKUBI-台湾火鍋&クラフトビール-,飲食,外国料理,その他,渋谷区猿楽町2-13F93daikanyama 1F,03-6433-7987,,35.65051,139.7019868,ChIJHVqdXEWLGGARZRYaLaDPYWo
アサッテムニュ,飲食,外国料理,その他,渋谷区千駄ヶ谷3-17-5グエル・サカエ北参道 1F,03-6434-5436,,35.676029,139.7076586,EmNKYXBhbiwg44CSMTUxLTAwNTEgVG9reW8sIFNoaWJ1eWEsIFNlbmRhZ2F5YSwgMy1jaMWNbWXiiJIxN-KIku-8lSDjgrDjgqjjg6vjg7vjgrXjgqvjgqjljJflj4LpgZMgMWYiHhocChYKFAoSCcHeyhi8jBhgETD-X9cT9fmYEgIxZg
あさひや,飲食,日本料理,そば・うどん,渋谷区恵比寿南1-4-2アサヒヤビル7階,03-3713-8765,,35.646431,139.7092186,Ej436ZqOLCAxLWNoxY1tZS00LTIgRWJpc3VtaW5hbWksIFNoaWJ1eWEsIFRva3lvIDE1MC0wMDIyLCBKYXBhbiIgGh4KFgoUChIJ6f26WUCLGGARFBGtcMElso0SBDfpmo4
アジアンダイニングバー謝々ホテル,飲食,居酒屋,ダイニング・バー,渋谷区元代々木町2-9シティーハウス代々木公園1.2階,03-3467-7314,,35.6701209,139.6875202,EjoxLjLpmo4sIDItOSBNb3RveW95b2dpY2jFjSwgU2hpYnV5YSwgVG9reW8gMTUxLTAwNjIsIEphcGFuIiIaIAoWChQKEgk5me-2S_MYYBGu7MUAeROoWBIGMS4y6ZqO
アジアンキッチンラーイマーイ,飲食,外国料理,その他,渋谷区神宮前4-9-5,03-6434-0756,,35.667344,139.7110122,ChIJG8Tx56GMGGARNwDYeTzwbys
asianstandAMA,飲食,外国料理,東南アジア料理,渋谷区代々木1-33-11階,03-6455-5127,,35.6819444,139.6968427,ChIJOUe3pM6MGGAR0Sk9RnvKt58
Asian dining and bar sathi,飲食,外国料理,インド料理,渋谷区猿楽町23-6Scott side 代官山2f,03-3476-7080,,35.6489077,139.7017475,ChIJVVUVeUWLGGARLqN8yDyUGJM
Asian dining and bar bharat,飲食,外国料理,インド料理,渋谷区笹塚3丁目9番7号,03-3370-6577,,35.6772784,139.6690825,ChIJ4St08RjzGGAR9cUsNCwyfpQ
AsianDiningMomoCaveTokyo,飲食,外国料理,無国籍料理,渋谷区代々木4-5-1,03-3377-8455,,35.6786046,139.6927129,ChIJdfD2a8uMGGARWSZcs5T-pLQ
アジアンパーム  渋谷本町店,飲食,外国料理,東南アジア料理,渋谷区本町2-14-4SHビル1階,03-3372-9050,,35.6619707,139.703795,ChIJ0Qgx67KMGGARd2ZbObLZHPE
アジアン屋台バル　クアトロ,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-7-8ニューライフ恵比寿102,03-3714-9196,,35.6462101,139.7097661,ChIJIxy_QkCLGGARVSAOWHGKgVc
味の店　たけ,飲食,日本料理,その他,渋谷区富ヶ谷2-21-13,03-3467-7441,,35.6614852,139.687558,ChIJs44-S1LzGGAR8D_HzYu0uP8
アスタリスク1103,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区渋谷1-10-3スタープラザ青山　1F,03-6805-0656,,35.6606232,139.7051582,ChIJjaRKVKyLGGART73VMPiuILg
as always,飲食,居酒屋,ビアホール,渋谷区東3-20-8オリエンタルビル1F,03-6419-3039,https://www.instagram.com/as_always_goro,35.649852,139.7090779,EltKYXBhbiwg44CSMTUwLTAwMTEgVG9reW8sIFNoaWJ1eWEsIEhpZ2FzaGksIDMtY2jFjW1l4oiSMjDiiJLvvJgg44Kq44Oq44Ko44Oz44K_44Or44OT44OrIDFmIh4aHAoWChQKEgmVW2ctQosYYBE-25BkMW0WuhICMWY
あそぼうよ,飲食,居酒屋,居酒屋,渋谷区恵比寿1-26-12　フラット16 1F,080-9713-5100,,35.647245,139.7164092,ElZKYXBhbiwg44CSMTUwLTAwMTMgVG9reW8sIFNoaWJ1eWEsIEViaXN1LCAxLWNoxY1tZeKIkjI24oiS77yR77ySIOODleODqeODg-ODiO-8ke-8liAxZiIeGhwKFgoUChIJ0dnZqBSLGGAREZJTOgtpKTgSAjFm
UPLIGHT COFFEE,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区渋谷2-23-16渋谷駅東口地下広場 B2F,03-6324-2739,,35.65771,139.70331,ChIJB9YTKYeLGGARfmv0zvgQjOA
アテド,飲食,居酒屋,居酒屋,渋谷区神泉町12-6,090-4397-0602,https://atedo.amebaownd.com/,35.6559795,139.6923859,ChIJd_p5XVWLGGARMul_AImRk9Y
ADENIAアデニア,飲食,外国料理,フランス料理,渋谷区鉢山町1番7号,03-5489-5151,,35.6534035,139.6988006,ChIJ5TB-31CLGGARiXgCp_dmCVw
アデージョ,飲食,その他(バー・クラブ・スナックなど),スナック・パブ・キャバレー,渋谷区道玄坂2丁目8-8コスモ渋谷館505,03-3770-7769,,35.6584695,139.6984936,ChIJd0Y1KVaLGGARIJi2R9VCb5U
アトリア参宮橋,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木4-50-13,03-6276-6777,,35.6784651,139.6915057,ChIJKV3uUcuMGGARL50LloR3n4c
アトリエレカイユ,飲食,外国料理,フランス料理,渋谷区千駄ヶ谷3-27-4小林ビル1階,03-6434-0234,,35.677089,139.7080094,ElNKYXBhbiwg44CSMTUxLTAwNTEgVG9reW8sIFNoaWJ1eWEsIFNlbmRhZ2F5YSwgMy1jaMWNbWXiiJIyN-KIku-8lCDlsI_mnpfjg5Pjg6sgMemajiIgGh4KFgoUChIJc49Gl76MGGARqnuYiNjTFywSBDHpmo4
あなくま,飲食,居酒屋,ダイニング・バー,渋谷区上原3-26-5幸信ビル101,03-5941-6122,,35.6641538,139.6759138,Ek9KYXBhbiwg44CSMTUxLTAwNjQgVG9reW8sIFNoaWJ1eWEsIFVlaGFyYSwgMy1jaMWNbWXiiJIyNuKIku-8lSDlubjkv6Hjg5Pjg6sgMTAxIh8aHQoWChQKEgkJgZiyRvMYYBFFfTexp56EahIDMTAx
ANANAS COFFEE,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神山町7-15イムーブル渋谷神山町4F,080-3816-1858,,35.6644986,139.6937312,El1KYXBhbiwg44CSMTUwLTAwNDcgVG9reW8sIFNoaWJ1eWEsIEthbWl5YW1hY2jFjSwgN-KIku-8ke-8liDjgqTjg6Djg7zjg5bjg6vmuIvosLfnpZ7lsbHnlLogNGYiHhocChYKFAoSCX0JlaetjBhgEawDyH_58p_HEgI0Zg
嗟哉,飲食,日本料理,ラーメン,渋谷区本町2-4-3,03-3375-8117,,35.6833688,139.6842261,ChIJUWv18C7zGGARwBuiTHWIJwE
anise_scone,飲食,喫茶店・カフェ,その他,渋谷区本町2-7-12,090-7807-6962,,35.6838269,139.6832111,ChIJc-idIS_zGGARy3I5VMRCemk
アネモネ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区神泉町12-7Foursビル1F,03-6455-1955,,35.656833,139.6927328,ChIJuwpeoKqMGGARElamYte8Bks
アバスク　イチャスエタメンディ,飲食,外国料理,スペイン料理,渋谷区渋谷2丁目12番11号松下ビル1階,03-5468-8908,http://www.abasque.com,35.65866740000001,139.7083924,EjMx6ZqOLCAyLWNoxY1tZS0xMi0xMSBTaGlidXlhLCBUb2t5byAxNTAtMDAwMiwgSmFwYW4iIBoeChYKFAoSCb-7z4ReixhgEfl886lD5fgKEgQx6ZqO
Afterhours,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区富ヶ谷1-7-9,03-3481-5507,,35.6690835,139.6900506,ChIJsRP_oEzzGGARE6SQHjh0xS0
油そば　てつ,飲食,日本料理,ラーメン,渋谷区笹塚2-7-9ライブイン笹塚1階,080-3548-7155,,35.6751748,139.669026,ElpKYXBhbiwg44CSMTUxLTAwNzMgVG9reW8sIFNoaWJ1eWEsIFNhc2F6dWthLCAyLWNoxY1tZeKIkjfiiJLvvJkg44Op44Kk44OW44Kk44Oz56y55aGaIDHpmo4iIBoeChYKFAoSCf15qDwY8xhgEcNDMruIx8SxEgQx6ZqO
アミューズメントバーHATAGAYA EGG,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区幡ヶ谷2-12-18幡ヶ谷第二中央ビル203,03-6304-2991,,35.6777947,139.6768656,ChIJJ9XxPQDzGGARi7LLVsfD_XA
あやとり,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿西1-3-9田中ビル302,080-1245-9215,,35.6487823,139.7083398,Em1KYXBhbiwg44CSMTUwLTAwMjEgVG9reW8sIFNoaWJ1eWEsIEViaXN1bmlzaGksIDEtY2jFjW1l4oiSM-KIku-8mSDjg57jg7zjg5bjg6vjg5Xjg63jg7Pjg4jjgqjjg5Pjgrnjg5Pjg6sgMzAyIh8aHQoWChQKEgkpoltjQYsYYBHPBNE5Z5mu6hIDMzAy
南国酒場　アヤパニ,飲食,居酒屋,居酒屋,渋谷区神山町5-3スパイシービル1F,03-5453-1288,,35.6656373,139.6938645,ElFKYXBhbiwg44CSMTUwLTAwNDcgVG9reW8sIFNoaWJ1eWEsIEthbWl5YW1hY2jFjSwgNeKIku-8kyDjgrnjg5HjgqTjgrfjg7zjg5Pjg6sgMWYiHhocChYKFAoSCcHO2IKtjBhgEX8AerYEf0R-EgIxZg
ARALE,飲食,居酒屋,居酒屋,渋谷区鶯谷町7-12GranDuo渋谷1F,03-6455-2378,,35.6528051,139.7019868,ChIJgwj0j1qLGGARa3FA6Lho-eQ
ありき,飲食,居酒屋,居酒屋,渋谷区西原3丁目17番4号星と月と空とビル102,080-2049-9294,,35.6701857,139.680619,El9KYXBhbiwg44CSMTUxLTAwNjYgVG9reW8sIFNoaWJ1eWEsIE5pc2hpaGFyYSwgMy1jaMWNbWXiiJIxN-KIku-8lCDjg5Xjg6njg6_jg7zjg4_jgqTjg4Qg5pifLOOBqCIjGiEKFgoUChIJWxjXBjjzGGARbx8nPQmnfWcSB-aYnyzjgag
アルティカセブン,飲食,その他(バー・クラブ・スナックなど),ライブハウス,渋谷区代々木1-41-3福井ビル2F,070-5360-3593,,35.6827916,139.6996532,Ek5KYXBhbiwg44CSMTUxLTAwNTMgVG9reW8sIFNoaWJ1eWEsIFlveW9naSwgMS1jaMWNbWXiiJI0MeKIku-8kyDnpo_kupXjg5Pjg6sgMmYiHhocChYKFAoSCa0X6zDPjBhgEY2ZWM7wuN5EEgIyZg
Areva,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区上原二丁目48-12東洋代々木上原コーポ103,03-4400-3590,,35.6679019,139.6820048,ChIJX-2EIAHzGGARdwxwBLsHpCk
アロハ豚珍串,飲食,外国料理,その他,渋谷区千駄ヶ谷3-52-3サニー原宿1階,03-3401-6800,,35.674605,139.7066044,ElZKYXBhbiwg44CSMTUxLTAwNTEgVG9reW8sIFNoaWJ1eWEsIFNlbmRhZ2F5YSwgMy1jaMWNbWXiiJI1MuKIku-8kyDjgrXjg4vjg7zljp_lrr8gMemajiIgGh4KFgoUChIJE6uqdbyMGGARxlzMCCRSxLESBDHpmo4
アロンズダイニング,飲食,外国料理,イタリア料理,渋谷区幡ヶ谷1-1-4 1F,070-6558-8171,,35.6775572,139.6786948,Ek9KYXBhbiwg44CSMTUxLTAwNzIgVG9reW8sIFNoaWJ1eWEsIEhhdGFnYXlhLCAxLWNoxY1tZeKIkjHiiJLvvJQg5rGg55Sw44OT44OrIDFmIh4aHAoWChQKEglbCK7eOvMYYBFBJ9Qfx5L3jhICMWY
OURDAYS,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区笹塚3-40-1,090-4546-5067,,35.6788699,139.6683333,ChIJmw0qKx_zGGAR-hFJZkCv4gY
Bar Unkempt,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区富ヶ谷1-14-20代々木公園セレナビル401,03-5738-8156,,35.66715780000001,139.6914366,El1KYXBhbiwg44CSMTUxLTAwNjMgVG9reW8sIFNoaWJ1eWEsIFRvbWlnYXlhLCAxLWNoxY1tZeKIkjE0IOS7o-OAheacqOWFrOWckuOCu-ODrOODiuODk-ODqyA0MDEiHxodChYKFAoSCZ1x-tOyjBhgEe5gb-2_bYA8EgM0MDE
庵狐　代官山店,飲食,日本料理,日本料理,渋谷区代官山町13-688DAIKANYAMA1階,03-6416-5189,,35.652873,139.7056775,ChIJ26h9TluLGGARS-J4D4qWn4E
庵狐　円山町店,飲食,居酒屋,居酒屋,渋谷区円山町25-4加藤ビル1F,03-5459-4083,,35.65616079999999,139.6938571,EklKYXBhbiwg44CSMTUwLTAwNDQgVG9reW8sIFNoaWJ1eWEsIE1hcnV5YW1hY2jFjSwgMjXiiJLvvJQg5Yqg6Jek44OT44OrIDFmIh4aHAoWChQKEgn75yycVYsYYBF4zVUJeYzeLBICMWY
アンコールワット,飲食,外国料理,東南アジア料理,渋谷区代々木1-38-13住研ビル1F,03-3370-3019,,35.6827343,139.7006021,ElFKYXBhbiwg44CSMTUxLTAwNTMgVG9reW8sIFNoaWJ1eWEsIFlveW9naSwgMS1jaMWNbWXiiJIzOOKIku-8ke-8kyDkvY_noJTjg5Pjg6sgMWYiHhocChYKFAoSCau8PU3PjBhgERIeFsxZIiZCEgIxZg
アンジェパティオ,飲食,外国料理,イタリア料理,渋谷区南平台町12-11,03-3476-7717,,35.6544242,139.6958991,ChIJBcQcIlSLGGARodjLgcq_Es0
按田餃子パワー店,飲食,外国料理,その他,渋谷区西原3-7-4渡部ビル1階,03-6407-9881,,35.66989179999999,139.6808598,ElJKYXBhbiwg44CSMTUxLTAwNjYgVG9reW8sIFNoaWJ1eWEsIE5pc2hpaGFyYSwgMy1jaMWNbWXiiJI34oiS77yVIOa4oemDqOODk-ODqyAx6ZqOIiAaHgoWChQKEgltyWj-R_MYYBGfaczIBkXxNhIEMemajg
按田餃子代々木上原本店,飲食,外国料理,その他,渋谷区西原3-21-2,03-6407-8813,,35.6705992,139.681915,ChIJVYEX4jfzGGARrWo9Rp1DKVo
あんちゅう,飲食,外国料理,イタリア料理,渋谷区上原2-48-9松崎ビル1,03-6804-8990,https://s.tabelog.com/tokyo/A1318/A131811/13223334/,35.6675456,139.6816758,Ek1KYXBhbiwg44CSMTUxLTAwNjQgVG9reW8sIFNoaWJ1eWEsIFVlaGFyYSwgMi1jaMWNbWXiiJI0OOKIku-8mSDmnb7ltI7jg5Pjg6sgMSIdGhsKFgoUChIJZaMhkEjzGGARngWKMv7JhZQSATE
Antelope,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区広尾5-3-15HHBビル2F,03-4363-8561,,35.6479731,139.7207503,ChIJ3-cLlBKLGGARXMRfCe464-w
AND THE FRIET,飲食,外国料理,その他,渋谷区広尾5丁目16番1号,03-6434-7297,,35.6500512,139.7204293,ChIJdQuSOG2LGGAR8Tmxhoojn6w
andC,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区千駄ヶ谷1-22-4吹上ビル1階　催事用,070-3149-9699,,35.678936,139.7091174,ElNKYXBhbiwg44CSMTUxLTAwNTEgVG9reW8sIFNoaWJ1eWEsIFNlbmRhZ2F5YSwgMS1jaMWNbWXiiJIyMuKIku-8lCDlkLnkuIrjg5Pjg6sgMemajiIgGh4KFgoUChIJn0vSVb6MGGARxzEnCaJGDsISBDHpmo4
ARMS,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木5-64-7神宮白鳳マンション1階,03-3466-5970,,35.6726053,139.6909978,El9KYXBhbiwg44CSMTUxLTAwNTMgVG9reW8sIFNoaWJ1eWEsIFlveW9naSwgNS1jaMWNbWXiiJI2NOKIku-8lyDnpZ7lrq7nmb3ps7Pjg57jg7Pjgrfjg6fjg7MgMemajiIgGh4KFgoUChIJh1EAzUrzGGARzQDHb_QJ3eMSBDHpmo4
ARMS TAKE OUT & DELIVERY,飲食,喫茶店・カフェ,ファーストフード,渋谷区富ヶ谷1-9-21レイ上原ビル1階,03-3466-5974,,35.668538,139.6901417,ElpKYXBhbiwg44CSMTUxLTAwNjMgVG9reW8sIFNoaWJ1eWEsIFRvbWlnYXlhLCAxLWNoxY1tZeKIkjniiJLvvJLvvJEg44Os44Kk5LiK5Y6f44OT44OrIDHpmo4iIBoeChYKFAoSCZ_JibxM8xhgEQF9INT9SWDMEgQx6ZqO
アーモンドホステルアンドカフェ,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区元代々木町1-7almond hostel & cafe,050-3628-5577,https://almondhostelandcafe.tokyo,35.671901,139.6847812,ChIJjYPYITbzGGAR7EYg4vCaV2w
AYUR CEYLON Shibuya,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区円山町22-15,050-6870-5543,https://www.instagram.com/ayurceylon_shibuya/,35.6565765,139.6942584,ChIJd4uzmlWLGGARwrolviLmSAA
アールズバー,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿南1-2-12ブラウンベセル 地下1階,03-5724-3726,,35.6462075,139.7081852,EmZKYXBhbiwg44CSMTUwLTAwMjIgVG9reW8sIFNoaWJ1eWEsIEViaXN1bWluYW1pLCAxLWNoxY1tZeKIkjLiiJLvvJHvvJIg44OW44Op44Km44Oz44O044Kn44K744OrIOWcsOS4izEiIxohChYKFAoSCcuRseVAixhgEYZyfp7GiAbuEgflnLDkuIsx
yinega,飲食,外国料理,無国籍料理,渋谷区渋谷1-10-2志水ビル1F,03-8507-8728,,35.6606844,139.7050691,EkZKYXBhbiwg44CSMTUwLTAwMDIgVG9reW8sIFNoaWJ1eWEsIDEtY2jFjW1l4oiSMTDiiJLvvJIg5b-X5rC044OT44OrIDFmIh4aHAoWChQKEgkdaXGWWIsYYBFaExvSXlM_eBICMWY
Yellow,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿南1-8-9第一黄色いビル4F,03-5708-5979,,35.6460585,139.7089532,ElJKYXBhbiwg44CSMTUwLTAwMjIgVG9reW8sIFNoaWJ1eWEsIEViaXN1bWluYW1pLCAxLWNoxY1tZeKIkjjiiJLvvJkg5Lqs5Z-O44OT44OrIDRmIh4aHAoWChQKEglxEZX1QIsYYBFAgPKrezIxihICNGY
イエローカンパニー恵比寿本店,飲食,日本料理,その他,渋谷区東3-14-19オークヒルズ1階,03-5485-2723,https://www.yellowcompany.jp,35.6513468,139.7094943,ElpKYXBhbiwg44CSMTUwLTAwMTEgVG9reW8sIFNoaWJ1eWEsIEhpZ2FzaGksIDMtY2jFjW1l4oiSMTTiiJLvvJHvvJkg44Kq44O844Kv44OS44Or44K6IDHpmo4iIBoeChYKFAoSCQkpTVBCixhgEcVXCnlKlW49EgQx6ZqO
イエローハウス,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区富ヶ谷1-6-14第2代々木公園ビル1階,050-3695-0383,https://www.instagram.com/yellowhouse_tomigaya,35.6691158,139.689497,El1KYXBhbiwg44CSMTUxLTAwNjMgVG9reW8sIFNoaWJ1eWEsIFRvbWlnYXlhLCAxLWNoxY1tZeKIkjbiiJLvvJHvvJAg5Luj44CF5pyo5YWs5ZyS44OT44OrIDHpmo4iIBoeChYKFAoSCS1pNWJL8xhgEcLwEbP5ww-cEgQx6ZqO
イエローママ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂2-20-26エクシール道玄坂地下一階4号,03-6809-0768,,35.6593021,139.6967812,EkDkuIAsNCwgMi1jaMWNbWUtMjAtMjYgRMWNZ2VuemFrYSwgU2hpYnV5YSwgVG9reW8gMTUwLTAwNDMsIEphcGFuIiEaHwoWChQKEgk7McfyqYwYYBFI-O-DWM1wpRIF5LiALDQ
粋　恵比寿店,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-13-2サンキビル2階,03-6416-3453,,35.6475137,139.7080107,EktTYW5raSBCbGRnLiwgMumajiwgMS1jaMWNbWUtMTMtMiBFYmlzdW5pc2hpLCBTaGlidXlhLCBUb2t5byAxNTAtMDAyMSwgSmFwYW4iIBoeChYKFAoSCUkrAxRBixhgEQSPga0b-9sOEgQy6ZqO
いく田,飲食,ステーキ・焼肉,焼肉,渋谷区代々木1-31-15第二宝山ビル1階,03-6304-2917,,35.6817931,139.702276,Ejsx6ZqOLCAxLWNoxY1tZS0zMS0xNSBZb3lvZ2ksIFNoaWJ1eWEsIFRva3lvIDE1MS0wMDUzLCBKYXBhbiIgGh4KFgoUChIJdZLaO8aMGGAR4lRhfghEHRgSBDHpmo4
イザカヤあだん,飲食,居酒屋,居酒屋,渋谷区広尾5-15-1日計広尾コーポ1F,03-3446-3295,,35.6502627,139.7211576,ChIJETC3Wm2LGGARcNslGsoHB9I
居酒屋　いしかり,飲食,居酒屋,居酒屋,渋谷区笹塚1-28-7レアヒビル102,03-3466-3265,,35.6729776,139.6671722,ChIJSU9QaRfzGGAROsJtOz0Loi4
居酒屋海 笹塚店,飲食,居酒屋,居酒屋,渋谷区笹塚2-16-4,03-3375-2283,,35.6743237,139.6660858,ChIJexyu8xnzGGARcsMrq5RYL6w
居酒屋　喜楽,飲食,居酒屋,居酒屋,渋谷区渋谷3-15-2F93 Shibuya II 5階,03-6427-7215,,35.6612662,139.7106438,ChIJ9ZuhNF6LGGARnD3a-7oR-ys
居酒屋　九四六屋,飲食,居酒屋,居酒屋,渋谷区道玄坂2ー23ー1小池ビルB1,03-5456-8587,,35.6606195,139.6960297,EjxiMSwgMi1jaMWNbWUtMjMtMSBExY1nZW56YWthLCBTaGlidXlhLCBUb2t5byAxNTAtMDA0MywgSmFwYW4iHhocChYKFAoSCRHy8x_mjRhgEbSMpnodBHBqEgJiMQ
居酒屋　佐藤,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-8-2ウエストパレスビス103,03-6416-3703,,35.64722,139.7153418,ChIJq6q7yhSLGGARS6MW3I4MU0o
居酒屋七福,飲食,居酒屋,居酒屋,渋谷区富ヶ谷1-3-13マキビル104,03-3468-7729,,35.6693625,139.6891784,EjsxMDQsIDEtY2jFjW1lLTMtMTMgVG9taWdheWEsIFNoaWJ1eWEsIFRva3lvIDE1MS0wMDYzLCBKYXBhbiIfGh0KFgoUChIJHZjFekvzGGARJsG7HZ2n2IESAzEwNA
居酒屋　俊樹,飲食,居酒屋,居酒屋,渋谷区上原2-33-2ユニマットブルーポイント4F,03-3460-5225,,35.6645657,139.6781866,EldKYXBhbiwg44CSMTUxLTAwNjQgVG9reW8sIFNoaWJ1eWEsIFVlaGFyYSwgMi1jaMWNbWXiiJIzM-KIku-8kiDjgq3jg6Pjg5Pjg7Pjg4_jgqbjgrkgNGYiHhocChYKFAoSCauqsYFG8xhgEZA3_2g99oNAEgI0Zg
居酒屋千,飲食,居酒屋,居酒屋,渋谷区宇田川町26-5育真ビル4階,03-3464-2100,,35.6600118,139.6988155,EjY06ZqOLCAyNi01IFVkYWdhd2FjaMWNLCBTaGlidXlhLCBUb2t5byAxNTAtMDA0MiwgSmFwYW4iIBoeChYKFAoSCe8s2DSojBhgEbL_PI_MWqmbEgQ06ZqO
