show_name,parent_category,middle_category,child_category,address,tel,google_url
Asian dining and bar bharat,飲食,外国料理,インド料理,渋谷区笹塚3丁目9番7号,03-3370-6577,
AsianDiningMomoCaveTokyo,飲食,外国料理,無国籍料理,渋谷区代々木4-5-1,03-3377-8455,
アジアンパーム  渋谷本町店,飲食,外国料理,東南アジア料理,渋谷区本町2-14-4SHビル1階,03-3372-9050,
アジアン屋台バル　クアトロ,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-7-8ニューライフ恵比寿102,03-3714-9196,
味の店　たけ,飲食,日本料理,その他,渋谷区富ヶ谷2-21-13,03-3467-7441,
アスタリスク1103,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区渋谷1-10-3スタープラザ青山　1F,03-6805-0656,
as always,飲食,居酒屋,ビアホール,渋谷区東3-20-8オリエンタルビル1F,03-6419-3039,https://www.instagram.com/as_always_goro
あそぼうよ,飲食,居酒屋,居酒屋,渋谷区恵比寿1-26-12　フラット16 1F,080-9713-5100,
UPLIGHT COFFEE,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区渋谷2-23-16渋谷駅東口地下広場 B2F,03-6324-2739,
アテド,飲食,居酒屋,居酒屋,渋谷区神泉町12-6,090-4397-0602,https://atedo.amebaownd.com/
ADENIAアデニア,飲食,外国料理,フランス料理,渋谷区鉢山町1番7号,03-5489-5151,
アデージョ,飲食,その他(バー・クラブ・スナックなど),スナック・パブ・キャバレー,渋谷区道玄坂2丁目8-8コスモ渋谷館505,03-3770-7769,
アトリア参宮橋,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木4-50-13,03-6276-6777,
アトリエレカイユ,飲食,外国料理,フランス料理,渋谷区千駄ヶ谷3-27-4小林ビル1階,03-6434-0234,
あなくま,飲食,居酒屋,ダイニング・バー,渋谷区上原3-26-5幸信ビル101,03-5941-6122,
ANANAS COFFEE,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神山町7-15イムーブル渋谷神山町4F,080-3816-1858,
嗟哉,飲食,日本料理,ラーメン,渋谷区本町2-4-3,03-3375-8117,
anise_scone,飲食,喫茶店・カフェ,その他,渋谷区本町2-7-12,090-7807-6962,
アネモネ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区神泉町12-7Foursビル1F,03-6455-1955,
アバスク　イチャスエタメンディ,飲食,外国料理,スペイン料理,渋谷区渋谷2丁目12番11号松下ビル1階,03-5468-8908,http://www.abasque.com
Afterhours,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区富ヶ谷1-7-9,03-3481-5507,
油そば　てつ,飲食,日本料理,ラーメン,渋谷区笹塚2-7-9ライブイン笹塚1階,080-3548-7155,
アミューズメントバーHATAGAYA EGG,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区幡ヶ谷2-12-18幡ヶ谷第二中央ビル203,03-6304-2991,
あやとり,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿西1-3-9田中ビル302,080-1245-9215,
南国酒場　アヤパニ,飲食,居酒屋,居酒屋,渋谷区神山町5-3スパイシービル1F,03-5453-1288,
ARALE,飲食,居酒屋,居酒屋,渋谷区鶯谷町7-12GranDuo渋谷1F,03-6455-2378,
ありき,飲食,居酒屋,居酒屋,渋谷区西原3丁目17番4号星と月と空とビル102,080-2049-9294,
アルティカセブン,飲食,その他(バー・クラブ・スナックなど),ライブハウス,渋谷区代々木1-41-3福井ビル2F,070-5360-3593,
Areva,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区上原二丁目48-12東洋代々木上原コーポ103,03-4400-3590,
アロハ豚珍串,飲食,外国料理,その他,渋谷区千駄ヶ谷3-52-3サニー原宿1階,03-3401-6800,
アロンズダイニング,飲食,外国料理,イタリア料理,渋谷区幡ヶ谷1-1-4 1F,070-6558-8171,
OURDAYS,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区笹塚3-40-1,090-4546-5067,
Bar Unkempt,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区富ヶ谷1-14-20代々木公園セレナビル401,03-5738-8156,
庵狐　代官山店,飲食,日本料理,日本料理,渋谷区代官山町13-688DAIKANYAMA1階,03-6416-5189,
庵狐　円山町店,飲食,居酒屋,居酒屋,渋谷区円山町25-4加藤ビル1F,03-5459-4083,
アンコールワット,飲食,外国料理,東南アジア料理,渋谷区代々木1-38-13住研ビル1F,03-3370-3019,
アンジェパティオ,飲食,外国料理,イタリア料理,渋谷区南平台町12-11,03-3476-7717,
按田餃子パワー店,飲食,外国料理,その他,渋谷区西原3-7-4渡部ビル1階,03-6407-9881,
按田餃子代々木上原本店,飲食,外国料理,その他,渋谷区西原3-21-2,03-6407-8813,
あんちゅう,飲食,外国料理,イタリア料理,渋谷区上原2-48-9松崎ビル1,03-6804-8990,https://s.tabelog.com/tokyo/A1318/A131811/13223334/
Antelope,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区広尾5-3-15HHBビル2F,03-4363-8561,
AND THE FRIET,飲食,外国料理,その他,渋谷区広尾5丁目16番1号,03-6434-7297,
andC,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区千駄ヶ谷1-22-4吹上ビル1階　催事用,070-3149-9699,
ARMS,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代々木5-64-7神宮白鳳マンション1階,03-3466-5970,
ARMS TAKE OUT & DELIVERY,飲食,喫茶店・カフェ,ファーストフード,渋谷区富ヶ谷1-9-21レイ上原ビル1階,03-3466-5974,
アーモンドホステルアンドカフェ,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区元代々木町1-7almond hostel & cafe,050-3628-5577,https://almondhostelandcafe.tokyo
AYUR CEYLON Shibuya,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区円山町22-15,050-6870-5543,https://www.instagram.com/ayurceylon_shibuya/
アールズバー,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿南1-2-12ブラウンベセル 地下1階,03-5724-3726,
yinega,飲食,外国料理,無国籍料理,渋谷区渋谷1-10-2志水ビル1F,03-8507-8728,
Yellow,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿南1-8-9第一黄色いビル4F,03-5708-5979,
イエローカンパニー恵比寿本店,飲食,日本料理,その他,渋谷区東3-14-19オークヒルズ1階,03-5485-2723,https://www.yellowcompany.jp
イエローハウス,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区富ヶ谷1-6-14第2代々木公園ビル1階,050-3695-0383,https://www.instagram.com/yellowhouse_tomigaya
イエローママ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂2-20-26エクシール道玄坂地下一階4号,03-6809-0768,
粋　恵比寿店,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-13-2サンキビル2階,03-6416-3453,
イザカヤあだん,飲食,居酒屋,居酒屋,渋谷区広尾5-15-1日計広尾コーポ1F,03-3446-3295,
居酒屋　いしかり,飲食,居酒屋,居酒屋,渋谷区笹塚1-28-7レアヒビル102,03-3466-3265,
居酒屋海 笹塚店,飲食,居酒屋,居酒屋,渋谷区笹塚2-16-4,03-3375-2283,
居酒屋　喜楽,飲食,居酒屋,居酒屋,渋谷区渋谷3-15-2F93 Shibuya II 5階,03-6427-7215,
居酒屋　九四六屋,飲食,居酒屋,居酒屋,渋谷区道玄坂2ー23ー1小池ビルB1,03-5456-8587,
居酒屋　佐藤,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-8-2ウエストパレスビス103,03-6416-3703,
居酒屋七福,飲食,居酒屋,居酒屋,渋谷区富ヶ谷1-3-13マキビル104,03-3468-7729,
居酒屋　俊樹,飲食,居酒屋,居酒屋,渋谷区上原2-33-2ユニマットブルーポイント4F,03-3460-5225,
居酒屋千,飲食,居酒屋,居酒屋,渋谷区宇田川町26-5育真ビル4階,03-3464-2100,
居酒屋のんきや,飲食,居酒屋,居酒屋,渋谷区神泉町10ー2第5岡崎ビル1階,03-3462-1267,
居酒屋ふくみ,飲食,居酒屋,居酒屋,渋谷区東3-25-3ライオンズプラザ恵比寿B 1,03-3400-7031,
居酒屋メッカ,飲食,居酒屋,居酒屋,渋谷区笹塚2-22-1松原ビル1階,03-3376-0081,
ITACHI,飲食,ステーキ・焼肉,ステーキ,渋谷区円山町1-3skビル　2F,03-3770-3315,
イタチカクー,飲食,外国料理,イタリア料理,渋谷区桜丘町24-3インエステートビルB1,03-6886-2496,
イタリアン　 chim chim,飲食,外国料理,イタリア料理,渋谷区恵比寿南1-9-12ピトレスクビル1階,03-5722-5333,
イタリアンレストランズッカ,飲食,外国料理,イタリア料理,渋谷区桜丘町10-4モドマルシェビル1階,03-6416-4384,
イタリアンレストランLIFE,飲食,外国料理,イタリア料理,渋谷区富ヶ谷1-9-19STビル1階,03-3467-3479,
一堂,飲食,居酒屋,居酒屋,渋谷区千駄ヶ谷1-28-4,03-3402-5580,
181cellar北参道,飲食,外国料理,イタリア料理,渋谷区千駄ヶ谷3-6-1ガレリア原宿1F,03-6447-5618,
１８合同会社,飲食,居酒屋,居酒屋,渋谷区代々木1丁目58番7号ヴェラハイツ代々木店舗103,03-4400-8918,
いちひく,飲食,日本料理,その他,渋谷区神宮前2-20-121FーB号,03-3403-8188,
一食,飲食,日本料理,その他,渋谷区西原1-7-8ツインパレスK1 101,03-6873-9120,
いっぷく処　浅葱,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区猿楽町2-11氷川ビル401号室,03-6416-5475,
いづまるキッチン,飲食,日本料理,その他,渋谷区代々木3-13-1スマイルヨヨギ1A,080-6523-7718,
イドコロネ,飲食,居酒屋,ダイニング・バー,渋谷区本町2-33-2初台ワールドマンション2階,080-6868-0504,
イナホノシズク,飲食,居酒屋,居酒屋,渋谷区初台1-11-15南洋ビル1-A,03-5350-2608,
イナホノシズク二号店,飲食,居酒屋,居酒屋,渋谷区初台1-37-1光ビル1F,03-3377-7737,
今尽,飲食,日本料理,その他,渋谷区広尾3-1-26,03-3498-4600,
イルプレージョ,飲食,外国料理,イタリア料理,渋谷区上原1-17-7フレニティハウス2F,03-6407-1271,
いわて屋,飲食,居酒屋,居酒屋,渋谷区千駄ヶ谷3-16-17NOCE KITASANDO 1F,03-6825-4033,
InG,飲食,居酒屋,ダイニング・バー,渋谷区本町2-43-4ヴァーチェストーンハウス1A,090-2757-1276,
in the house,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区神宮前三丁目31番20号,090-6197-6274,
インダストリアルラウンジ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿西1-8-2ウエストパレス205,03-3461-1989,
インド料理サモサ初台店,飲食,外国料理,インド料理,渋谷区本町2-4-101F,03-3377-3378,
E・A・T GRILL＆BAR,飲食,外国料理,その他,渋谷区千駄ヶ谷4丁目10番4号千駄ヶ谷グリーンランドビル1階,03-6447-2218,
イーツファン,飲食,居酒屋,居酒屋,渋谷区道玄坂1-7-8新井ビル3階,03-6455-1829,
Ui食堂,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神山町9-5ホーリーランドAmi1階,03-5738-8920,
Whisky Gibier,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区西原3-21-1 1F2号,03-3466-2640,
WEPwafflefactory,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神山町25-17UpperHillscourt101,03-6416-8242,
ウエトミ×アオギリ,飲食,居酒屋,居酒屋,渋谷区上原1丁目1-21,03-5790-9990,
ウエハラキッチン,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区上原3-1-17,03-6804-9390,
上原の酒場　でばちか,飲食,居酒屋,居酒屋,渋谷区上原1-35-6第16菊地ビルB102,03-6451-5547,
上原の酒場　でばやし,飲食,居酒屋,居酒屋,渋谷区上原1-32-18小林ビル2階,03-6407-9782,
UEHARA PARLOR,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区上原1-36-12内藤ビル2F,03-5761-6559,
ウォータリングホール,飲食,居酒屋,ビアホール,渋谷区千駄ヶ谷5-26-5代々木シティホームズ103,03-6380-6115,
魚音,飲食,日本料理,日本料理,渋谷区初台1-11-12,03-5371-5055,
UO-SAO,飲食,居酒屋,居酒屋,渋谷区上原1丁目17-11,03-6407-0355,
魚まみれ眞吉恵比寿店,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-11-1松本ビル1階,03-5794-8350,
魚まみれ眞吉渋谷宮益坂店,飲食,居酒屋,居酒屋,渋谷区渋谷1-10-12宮城ビル1階,03-6418-8318,
魚まみれ眞吉神宮前本館場末店,飲食,居酒屋,居酒屋,渋谷区神宮前2-19-16,03-3401-3917,
魚まみれ眞吉代々木八幡店,飲食,居酒屋,居酒屋,渋谷区富ヶ谷1-2-13高松DCビルB1F-A,03-6804-9220,https://tabelog.com/tokyo/A1318/A131810/13215752/
魚ゆう,飲食,日本料理,日本料理,渋谷区神泉町17-16,03-3461-4460,
鰾,飲食,日本料理,日本料理,渋谷区西原3-22-5,03-5790-9377,
ウサギの上り坂,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区代々木1-54-2小林ビル2階,03-6273-5338,
カフェ　ウズナオムオム,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神宮前5丁目17-8原宿XS 203,03-3499-2337,http://www.uznaomom.jp.net
WOODBERRY COFFEE 渋谷店,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区東2-20-18,03-5962-7518,
WOODBERRY COFFEE 代官山店,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿南3-7-1,03-6451-0446,
うな賀,飲食,日本料理,うなぎ,渋谷区本町1丁目2-2榎本ビル2階　第3区画,090-1774-0333,
うなぎ  ふじもと,飲食,日本料理,うなぎ,渋谷区千駄ヶ谷3丁目15番12号,03-3401-6551,
うなとり×宇奈とと　笹塚店,飲食,居酒屋,居酒屋,渋谷区笹塚1-57-16,080-6266-8037,https://s.tabelog.com/tokyo/A1318/A131808/13277010/party/
うにtoいくら,飲食,居酒屋,居酒屋,渋谷区円山町7-5WHARF渋谷道玄坂6階,03-5422-3913,
uni-BAR,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区笹塚3-28-3後藤ビル1F,090-4845-2087,
うめ組,飲食,居酒屋,居酒屋,"渋谷区笹塚2-27-5B,sビル1F",03-6381-6633,
ULTIMO,飲食,外国料理,イタリア料理,渋谷区西原3-24-1アムール代々木上原 104号,090-5419-9700,
urura,飲食,外国料理,フランス料理,渋谷区松濤1丁目29-2　スクエアビル 2F,03-3770-0149,
ouahouah,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿西2-18-6代官山ウイング102,03-6433-7875,
OOTONG RUM HALL,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区幡ヶ谷2-47-11田口ビル1階,03-6762-5128,
EIGHT COFFEE,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿1-11-8TCビル1階,080-6621-3150,
EXCITE LUCKY,飲食,居酒屋,ダイニング・バー,渋谷区笹塚3-31-10笹塚サンハイツ,080-5071-7498,
es Cafe Bar & Beauty Salon,飲食,喫茶店・カフェ,その他,渋谷区東3丁目25番6号楠ビル2F,03-6721-7680,
エスグロッソ,飲食,外国料理,イタリア料理,渋谷区道玄坂1-11-3フォースワンビル1F,03-3464-7878,
渋谷エクセルホテル東急　エスタシオンカフェ,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区道玄坂1-12-2,03-5457-0133,
Ethnic Dining TSUBAKI GARDEN,飲食,外国料理,インド料理,渋谷区東1-3-1カミニート1F 4号,050-5590-3642,
etain cafe and bar,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区東2-15-1trias215 101,090-2335-4325,
エッセ,飲食,外国料理,イタリア料理,渋谷区恵比寿南2-4-19,03-6412-7130,
N9Y　奥渋店,飲食,ステーキ・焼肉,ステーキ,渋谷区宇田川町37-11大久保ビル　1階,03-5738-8315,
エノテカミヤヂ,飲食,外国料理,イタリア料理,渋谷区渋谷2-2-4青山アルコーブ202,03-6427-4393,
evergreen cafe restaurant EBISU,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区恵比寿南1-26-1,03-5724-3660,
恵比寿　今市,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-13-6,03-6455-1717,
恵比寿エスクラシコ,飲食,外国料理,イタリア料理,渋谷区恵比寿1-24-11-1Fグラッセ,03-6277-1612,https://es-classico.jp/
恵比寿　牡蠣ツ端,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-9-2AIビルB1F,03-6452-3414,
恵比寿　吉乃坐,飲食,日本料理,日本料理,渋谷区恵比寿4-24-4キエイビル1階,03-5793-5776,https://kichinoza.jp/
恵比寿　黒帯,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-13-6ブラッサムZEN4階,03-6277-5916,https://tabelog.com/tokyo/A1303/A130302/13153105/
EBISU SIX,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区恵比寿3-3-2ニューケイクレセント2f,03-5422-9888,
恵比寿食堂　美星,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-7-8ニューライフ恵比寿203,03-6712-2199,
恵比寿シーシャgreen,飲食,喫茶店・カフェ,その他,渋谷区恵比寿西1-8-10EBISU高橋ビル3F,070-4792-7380,
エビスSTARバー,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿南1-8-9第一黄色いビル3階,050-3138-4869,
ebisu diner olive,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区東3-6-9,03-6427-7911,
恵比寿ダルマット,飲食,外国料理,イタリア料理,渋谷区恵比寿西2-7-8Sリトリート 1F/B1F,03-3780-9955,https://www.dal-matto.com/
ebisu NUKA factory.,飲食,日本料理,小料理,渋谷区恵比寿4-10-8エビスビル102,03-5422-8362,
えびすのARALE,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-7-15KATOHビル203,090-5325-2786,
恵比寿　ハジカミ,飲食,居酒屋,居酒屋,渋谷区恵比寿西1-3-9田中ビル1階,03-6427-8755,
恵比寿橋酒場TUGI,飲食,居酒屋,居酒屋,渋谷区広尾1-12-16,03-6277-2332,
EBISUBASHI珊瑚,飲食,外国料理,イタリア料理,渋谷区恵比寿1-16-18,03-6450-3348,
恵比寿BAR  BASE,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿1-12-7三恵31ビル4階B号室,090-9821-8158,
恵比寿BAR  BASE2,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿1-5-8初鹿野ビル2階,03-5860-2123,
恵比寿ブラッカウズ,飲食,外国料理,その他,渋谷区恵比寿西2-11-9東光ホワイトビル1Fブラッカウズ,03-3477-2914,
恵比寿ホルモン龍村,飲食,ステーキ・焼肉,焼肉,渋谷区恵比寿南1-4-17GinzaK2ビル4階,03-6303-0065,
恵比寿　宮崎ダイニング　ヒムカテラス,飲食,居酒屋,ダイニング・バー,渋谷区恵比寿西1-20-8コンド恵比寿,03-6416-4966,https://g.co/kgs/GKFHLr
えびす焼魚食堂,飲食,日本料理,その他,渋谷区恵比寿3-1-2エビサンビル101,03-6432-5777,
恵比寿横丁　だるまてんぐ,飲食,居酒屋,居酒屋,渋谷区恵比寿1-7-2オークビル1階,03-3440-1250,
恵比寿489,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区恵比寿南2-1-6鳥居ビル5階,070-8470-9256,
エビスルンバ,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区恵比寿南2-3-3第一恵比寿マンション地下15室,090-4960-2634,
恵比寿和顔,飲食,居酒屋,居酒屋,渋谷区恵比寿南1-2-12,03-3715-5554,
EBIZO,飲食,外国料理,その他,渋谷区道玄坂2丁目19-3ライオンズマンション104,03-6416-3105,
エビン代々木・北参道店,飲食,外国料理,インド料理,渋谷区千駄ヶ谷4-27-13,03-6432-9973,
FFF yoyogipark,飲食,外国料理,無国籍料理,渋谷区富ヶ谷1-2-8スタジオリオネビルB1,090-7261-6852,
eponym coffee,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区本町4-18-2黒田屋ハイツ1F,03-6300-5519,
エマラウンジ,飲食,外国料理,イタリア料理,渋谷区道玄坂1-14-9ソシアルビル2F,03-3461-6699,
MK  snack & bar,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区桜丘町16-8アトラス桜丘ビル2階,080-4132-2056,
Ms Bar oeld,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区上原1-1-23ステイエム代々木公園1階,090-4679-4876,
LA JUICE&BAR,飲食,その他(バー・クラブ・スナックなど),カフェバー,渋谷区広尾5-1-40プラスリノ広尾3F,080-7509-0612,https://instagram.com/lajuiceandbar?igshid=MzRlODBiNWFlZA==
LA17,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区道玄坂1-19-8斉丸道玄坂ビル2階,03-5428-5078,
L.C.d.B,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区代官山町15-8,03-6873-7602,
ELMO+,飲食,外国料理,イタリア料理,渋谷区笹塚1-56-18京王クラウン街笹塚A-2東,03-6300-4362,
円,飲食,その他(バー・クラブ・スナックなど),スナック・パブ・キャバレー,渋谷区幡ヶ谷2-8-5近藤ビル地下1階,03-3374-5571,
遠藤商店,飲食,その他(バー・クラブ・スナックなど),その他,渋谷区代々木3-22-1文化学園,03-3299-2078,
縁家とりつぎ,飲食,居酒屋,居酒屋,渋谷区元代々木町11-1田中ビル1F,03-3468-5389,
えんらい,飲食,居酒屋,居酒屋,渋谷区渋谷2-8-7青山宮野ビル103,03-6805-0343,https://sakaba.co.jp/
A9,飲食,その他(バー・クラブ・スナックなど),バー,渋谷区西原3-22-14西原水垣ビル1階,03-3481-8089,
おいちゃん,飲食,居酒屋,居酒屋,渋谷区神山町9-14白樺ビル102,03-6804-8609,
欧風カレー　café de キュリー,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区千駄ヶ谷2-33-1,03-3475-9777,
欧風カレーMURAO,飲食,外国料理,インド料理,渋谷区代々木2-1-1新宿マインズタワーB1,070-5542-0748,
沖縄居酒屋 香の帆,飲食,居酒屋,居酒屋,渋谷区宇田川町10-1パークビル5階,03-6273-9243,
オキナワンダイニング島物語,飲食,居酒屋,ダイニング・バー,渋谷区幡ヶ谷2-8-5近藤ビルB1,03-3374-2095,
奥渋魚力,飲食,日本料理,日本料理,渋谷区神山町40-4,03-3467-6709,
奥渋谷 もつ焼のんき,飲食,居酒屋,居酒屋,渋谷区神山町4-18フィルトップ神山1F,03-6416-8883,https://next-gf.com/store/
オクノシブヤ,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神山町7-15ホワイトハイム大嵩 102,03-6804-9889,https://okunoshibuya.ifreagroup.co.jp/
aux,飲食,外国料理,無国籍料理,渋谷区上原1-2-3auxビル1f,03-6884-7248,
OKEI TAPROOM オケタプ,飲食,居酒屋,ビアホール,渋谷区代々木一丁目52-4ベルテ南新宿B1階,03-5309-2346,
お好み焼きえん　参宮橋2号店,飲食,ステーキ・焼肉,その他,渋谷区代々木4-5-1参宮橋ダイヤビル110号室,03-4361-9525,http://okonomiyaki-en.com/secondshop/
お好み焼きえん　幡ヶ谷店,飲食,居酒屋,居酒屋,渋谷区幡ヶ谷2-8-5,03-6258-4597,
お好み焼きえん　初台店,飲食,日本料理,お好み焼き,渋谷区初台1丁目36-1,03-6822-1610,http://hatsudai.okonomiyaki-en.com/
お好み焼　天現寺亭,飲食,日本料理,お好み焼き,渋谷区広尾5丁目25番6号,03-3444-0538,
お好み焼き　はち,飲食,日本料理,お好み焼き,渋谷区笹塚1-58-13フィエスタ笹塚5階,03-6300-9876,http://okonomiyaki-hachi.com
お好み焼・もんじゃ焼　ええとこ代々木店,飲食,日本料理,お好み焼き,渋谷区千駄ヶ谷5-22-3都営千駄ヶ谷アパート2号棟1階,03-6312-1818,https://yoyogi.eetoko.net/
おこめ茶屋 米米-めめ-,飲食,日本料理,その他,渋谷区笹塚1-56-18京王クラウン街笹塚,03-6300-5073,
おこめどき,飲食,喫茶店・カフェ,喫茶店・カフェ,渋谷区神宮前5丁目29番10号クリプトメリア神宮前ビル1F,03-6803-8956,
お酒とスパイス カンテラ,飲食,居酒屋,ダイニング・バー,渋谷区幡ヶ谷2-12-18幡ヶ谷中央第二ビル,03-3463-1809,
押競満寿,飲食,外国料理,その他,渋谷区元代々木町25-5RAJIKUMAR BLD 1F,03-6804-7256,
ＯＺＹ,飲食,外国料理,その他,渋谷区鶯谷町1-2パル代官山1階,080-4669-6097,
おすし磯部,飲食,日本料理,寿司,渋谷区元代々木町2-11GSハイム第二代々木公園101,03-6885-7515,
オステリア　しん介,飲食,外国料理,イタリア料理,渋谷区恵比寿1-22-10カマスヤビル　B101号室,03-6447-7709,
オステリア スミヴィノ,飲食,外国料理,イタリア料理,,03-3372-7709,https://tabelog.com/tokyo/A1318/A131807/13006890/
オステリア　ラ.リベラ,飲食,外国料理,イタリア料理,渋谷区恵比寿南1-18-11西田ビル1F,03-6452-4853,
Osteria Ricco,飲食,外国料理,イタリア料理,渋谷区幡ヶ谷1-33-6ビューハイム幡ヶ谷102,03-5454-0004,
お惣菜と煎餅もんじゃさとう,飲食,日本料理,その他,渋谷区富ヶ谷1-9-22AIUビル1階,03-6804-9703,
O'denbarうまみ代官山店,飲食,日本料理,その他,渋谷区代官山町13-8キャッスルマンション代官山104,03-6416-9209,
